PS C:\Users\mael\Desktop\UQAC\Deep learning\Projet\Tests> python.exe .\v4-noalign-v3.py
Files source: ['train-00000-of-00044.parquet', 'train-00001-of-00044.parquet', 'train-00002-of-00044.parquet', 'train-00003-of-00044.parquet', 'train-00004-of-00044.parquet', 'train-00005-of-00044.parquet']
Processing file: dataset/train-00000-of-00044.parquet
Dataframe shape: (21563, 5)
Processing file: dataset/train-00001-of-00044.parquet
Dataframe shape: (21563, 5)
Processing file: dataset/train-00002-of-00044.parquet
Dataframe shape: (21563, 5)
Processing file: dataset/train-00003-of-00044.parquet
Dataframe shape: (21563, 5)
Processing file: dataset/train-00004-of-00044.parquet
Dataframe shape: (21563, 5)
Processing file: dataset/train-00005-of-00044.parquet
Dataframe shape: (21562, 5)
Total dataset size: 129377
Shuffling dataset...
MediumASR(
  (conv1): Conv2d(1, 32, kernel_size=(11, 41), stride=(2, 2), padding=(5, 20), bias=False)
  (bn1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(32, 32, kernel_size=(11, 21), stride=(1, 2), padding=(5, 10), bias=False)
  (bn2): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lstm1): LSTM(160, 128, batch_first=True, bidirectional=True)
  (lstm2): LSTM(256, 128, batch_first=True, bidirectional=True)
  (lstm3): LSTM(256, 128, batch_first=True, bidirectional=True)
  (lstm4): LSTM(256, 128, batch_first=True, bidirectional=True)
  (lstm5): LSTM(256, 128, batch_first=True, bidirectional=True)
  (dense1): Linear(in_features=256, out_features=256, bias=True)
  (output_layer): Linear(in_features=256, out_features=34, bias=True)
)
Using device: cuda
[18-03 23:09] Epoch [1/100], Batch [100/3639], Train Loss (last batch group): 8.5953
[18-03 23:09] Epoch [1/100], Batch [200/3639], Train Loss (last batch group): 3.0993
[18-03 23:09] Epoch [1/100], Batch [300/3639], Train Loss (last batch group): 3.0007
[18-03 23:10] Epoch [1/100], Batch [400/3639], Train Loss (last batch group): 2.9581
[18-03 23:10] Epoch [1/100], Batch [500/3639], Train Loss (last batch group): 2.9434
[18-03 23:10] Epoch [1/100], Batch [600/3639], Train Loss (last batch group): 2.9333
[18-03 23:11] Epoch [1/100], Batch [700/3639], Train Loss (last batch group): 2.9328
[18-03 23:11] Epoch [1/100], Batch [800/3639], Train Loss (last batch group): 2.9325
[18-03 23:12] Epoch [1/100], Batch [900/3639], Train Loss (last batch group): 2.9243
[18-03 23:12] Epoch [1/100], Batch [1000/3639], Train Loss (last batch group): 2.9237
[18-03 23:12] Epoch [1/100], Batch [1100/3639], Train Loss (last batch group): 2.9175
[18-03 23:13] Epoch [1/100], Batch [1200/3639], Train Loss (last batch group): 2.9149
[18-03 23:13] Epoch [1/100], Batch [1300/3639], Train Loss (last batch group): 2.9094
[18-03 23:13] Epoch [1/100], Batch [1400/3639], Train Loss (last batch group): 2.9129
[18-03 23:14] Epoch [1/100], Batch [1500/3639], Train Loss (last batch group): 2.9029
[18-03 23:14] Epoch [1/100], Batch [1600/3639], Train Loss (last batch group): 2.9038
[18-03 23:15] Epoch [1/100], Batch [1700/3639], Train Loss (last batch group): 2.8962
[18-03 23:15] Epoch [1/100], Batch [1800/3639], Train Loss (last batch group): 2.9045
[18-03 23:15] Epoch [1/100], Batch [1900/3639], Train Loss (last batch group): 2.8998
[18-03 23:16] Epoch [1/100], Batch [2000/3639], Train Loss (last batch group): 2.8931
[18-03 23:16] Epoch [1/100], Batch [2100/3639], Train Loss (last batch group): 2.8315
[18-03 23:16] Epoch [1/100], Batch [2200/3639], Train Loss (last batch group): 2.8169
[18-03 23:17] Epoch [1/100], Batch [2300/3639], Train Loss (last batch group): 2.7818
[18-03 23:17] Epoch [1/100], Batch [2400/3639], Train Loss (last batch group): 2.7956
[18-03 23:17] Epoch [1/100], Batch [2500/3639], Train Loss (last batch group): 2.7669
[18-03 23:18] Epoch [1/100], Batch [2600/3639], Train Loss (last batch group): 2.7785
[18-03 23:18] Epoch [1/100], Batch [2700/3639], Train Loss (last batch group): 3.0345
[18-03 23:19] Epoch [1/100], Batch [2800/3639], Train Loss (last batch group): 2.8712
[18-03 23:19] Epoch [1/100], Batch [2900/3639], Train Loss (last batch group): 2.7940
[18-03 23:19] Epoch [1/100], Batch [3000/3639], Train Loss (last batch group): 2.7714
[18-03 23:21] Epoch [1/100], Batch [3100/3639], Train Loss (last batch group): 2.7761
[18-03 23:22] Epoch [1/100], Batch [3200/3639], Train Loss (last batch group): 2.7472
[18-03 23:24] Epoch [1/100], Batch [3300/3639], Train Loss (last batch group): 2.7332
[18-03 23:26] Epoch [1/100], Batch [3400/3639], Train Loss (last batch group): 2.7385
[18-03 23:27] Epoch [1/100], Batch [3500/3639], Train Loss (last batch group): 2.7362
[18-03 23:29] Epoch [1/100], Batch [3600/3639], Train Loss (last batch group): 2.7260
[18-03 23:30] Epoch [1/100] - Average Train Loss: 3.0237
Epoch [1/100] - Validation Loss: 2.7616
[18-03 23:36] Epoch [2/100], Batch [100/3639], Train Loss (last batch group): 2.7450
[18-03 23:37] Epoch [2/100], Batch [200/3639], Train Loss (last batch group): 2.7047
[18-03 23:39] Epoch [2/100], Batch [300/3639], Train Loss (last batch group): 2.7027
[18-03 23:41] Epoch [2/100], Batch [400/3639], Train Loss (last batch group): 2.6934
[18-03 23:42] Epoch [2/100], Batch [500/3639], Train Loss (last batch group): 2.6977
[18-03 23:44] Epoch [2/100], Batch [600/3639], Train Loss (last batch group): 2.6796
[18-03 23:46] Epoch [2/100], Batch [700/3639], Train Loss (last batch group): 2.6873
[18-03 23:47] Epoch [2/100], Batch [800/3639], Train Loss (last batch group): 2.6838
[18-03 23:49] Epoch [2/100], Batch [900/3639], Train Loss (last batch group): 2.6816
[18-03 23:51] Epoch [2/100], Batch [1000/3639], Train Loss (last batch group): 2.6766
[18-03 23:52] Epoch [2/100], Batch [1100/3639], Train Loss (last batch group): 2.6812
[18-03 23:54] Epoch [2/100], Batch [1200/3639], Train Loss (last batch group): 2.6711
[18-03 23:56] Epoch [2/100], Batch [1300/3639], Train Loss (last batch group): 2.6617
[18-03 23:57] Epoch [2/100], Batch [1400/3639], Train Loss (last batch group): 2.6695
[18-03 23:59] Epoch [2/100], Batch [1500/3639], Train Loss (last batch group): 2.6694
[19-03 00:00] Epoch [2/100], Batch [1600/3639], Train Loss (last batch group): 2.6763
[19-03 00:02] Epoch [2/100], Batch [1700/3639], Train Loss (last batch group): 2.6651
[19-03 00:04] Epoch [2/100], Batch [1800/3639], Train Loss (last batch group): 2.6595
[19-03 00:05] Epoch [2/100], Batch [1900/3639], Train Loss (last batch group): 2.6572
[19-03 00:07] Epoch [2/100], Batch [2000/3639], Train Loss (last batch group): 2.6597
[19-03 00:09] Epoch [2/100], Batch [2100/3639], Train Loss (last batch group): 2.6599
[19-03 00:10] Epoch [2/100], Batch [2200/3639], Train Loss (last batch group): 2.6675
[19-03 00:12] Epoch [2/100], Batch [2300/3639], Train Loss (last batch group): 2.6611
[19-03 00:14] Epoch [2/100], Batch [2400/3639], Train Loss (last batch group): 2.6597
[19-03 00:15] Epoch [2/100], Batch [2500/3639], Train Loss (last batch group): 2.6592
[19-03 00:17] Epoch [2/100], Batch [2600/3639], Train Loss (last batch group): 2.6543
[19-03 00:19] Epoch [2/100], Batch [2700/3639], Train Loss (last batch group): 2.6646
[19-03 00:20] Epoch [2/100], Batch [2800/3639], Train Loss (last batch group): 2.6592
[19-03 00:22] Epoch [2/100], Batch [2900/3639], Train Loss (last batch group): 2.6634
